epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.7107,1.68658,4.45563,1.76566,0.57325,0.5033,0.33315,0.16685,1.90221,4.13413,1.994,0.00033033,0.00033033,0.00033033
2,44.1736,1.64315,3.17361,1.73284,0.54038,0.48293,0.48897,0.223,1.82499,3.03429,1.97071,0.000657093,0.000657093,0.000657093
3,65.5571,1.62284,2.90326,1.68707,0.51614,0.35899,0.39827,0.18788,1.76007,3.67562,1.83162,0.000977256,0.000977256,0.000977256
4,86.9298,1.61239,2.82791,1.69969,0.30738,0.51167,0.49488,0.2287,1.6718,2.64062,1.80767,0.0009703,0.0009703,0.0009703
5,108.368,1.58538,2.65715,1.65486,0.60802,0.66737,0.64964,0.31787,1.6687,2.52515,1.74565,0.0009604,0.0009604,0.0009604
6,129.794,1.55047,2.51461,1.63944,0.65733,0.54235,0.58772,0.24739,1.81097,3.7261,1.88544,0.0009505,0.0009505,0.0009505
7,151.233,1.53862,2.42556,1.6193,0.71236,0.58392,0.68905,0.34619,1.50685,2.15804,1.64861,0.0009406,0.0009406,0.0009406
8,172.661,1.50554,2.33734,1.60481,0.7555,0.69381,0.76771,0.41099,1.57252,2.10201,1.68675,0.0009307,0.0009307,0.0009307
9,194.073,1.50231,2.29038,1.58282,0.63253,0.752,0.76292,0.36127,1.67583,2.05018,1.7526,0.0009208,0.0009208,0.0009208
10,215.325,1.49767,2.23191,1.58769,0.73516,0.42778,0.51049,0.26562,1.8237,2.70559,1.78602,0.0009109,0.0009109,0.0009109
11,236.704,1.48312,2.18921,1.56892,0.53606,0.70961,0.71064,0.39615,1.54412,1.82897,1.59656,0.000901,0.000901,0.000901
12,258.283,1.48498,2.18063,1.59344,0.57175,0.71669,0.70547,0.3841,1.58803,2.03759,1.65678,0.0008911,0.0008911,0.0008911
13,279.504,1.46915,2.12487,1.55714,0.59256,0.6513,0.66933,0.33457,1.58269,2.1015,1.68521,0.0008812,0.0008812,0.0008812
14,300.863,1.44632,2.15049,1.56217,0.62109,0.7446,0.75441,0.42454,1.48862,1.82474,1.62042,0.0008713,0.0008713,0.0008713
15,322.097,1.43328,2.0464,1.54885,0.76732,0.59481,0.65024,0.35531,1.64806,1.93408,1.71403,0.0008614,0.0008614,0.0008614
16,343.316,1.44917,2.0659,1.55007,0.65711,0.64187,0.70535,0.37246,1.66987,1.84308,1.68389,0.0008515,0.0008515,0.0008515
17,364.611,1.45597,2.06651,1.56662,0.73627,0.63249,0.76413,0.4217,1.5714,1.80339,1.65825,0.0008416,0.0008416,0.0008416
18,385.959,1.42545,2.00911,1.5389,0.78416,0.7613,0.7673,0.40644,1.51961,1.93551,1.69921,0.0008317,0.0008317,0.0008317
19,407.141,1.40817,1.95461,1.52277,0.69164,0.66464,0.72544,0.41801,1.49495,1.81416,1.60166,0.0008218,0.0008218,0.0008218
20,428.316,1.43492,2.00787,1.54417,0.58617,0.7085,0.70772,0.40579,1.48967,1.88421,1.61583,0.0008119,0.0008119,0.0008119
21,449.406,1.40799,1.99366,1.52443,0.79719,0.67157,0.80257,0.46055,1.41322,1.59538,1.55159,0.000802,0.000802,0.000802
22,470.592,1.4188,1.98864,1.53002,0.65249,0.82141,0.79634,0.40647,1.49265,1.74326,1.62092,0.0007921,0.0007921,0.0007921
23,491.636,1.38093,1.93276,1.51252,0.61693,0.83046,0.83087,0.4291,1.61456,1.53621,1.6985,0.0007822,0.0007822,0.0007822
24,512.722,1.3873,1.91251,1.51427,0.69713,0.70535,0.75107,0.42721,1.41737,1.73971,1.55315,0.0007723,0.0007723,0.0007723
25,534.032,1.40494,1.96467,1.52722,0.86992,0.58867,0.74781,0.41498,1.5358,1.72615,1.64397,0.0007624,0.0007624,0.0007624
26,555.297,1.38426,1.91894,1.50807,0.51435,0.73288,0.67374,0.32903,1.71472,1.93006,1.77376,0.0007525,0.0007525,0.0007525
27,576.627,1.39889,1.92691,1.5218,0.77835,0.54165,0.65044,0.38941,1.53914,1.75095,1.58392,0.0007426,0.0007426,0.0007426
28,597.658,1.37971,1.86879,1.50336,0.70518,0.75119,0.78247,0.46868,1.41215,1.51185,1.53717,0.0007327,0.0007327,0.0007327
29,618.947,1.37858,1.89457,1.49866,0.60171,0.7711,0.69563,0.33445,1.65003,1.84035,1.74769,0.0007228,0.0007228,0.0007228
30,640.039,1.36896,1.86373,1.49576,0.60559,0.67494,0.73019,0.38242,1.56553,1.6806,1.62983,0.0007129,0.0007129,0.0007129
31,661.177,1.36198,1.82309,1.49232,0.66928,0.78008,0.7983,0.44513,1.6202,1.53372,1.73461,0.000703,0.000703,0.000703
32,682.158,1.35872,1.82115,1.50215,0.80169,0.65594,0.76931,0.44141,1.44638,1.64005,1.54978,0.0006931,0.0006931,0.0006931
33,703.335,1.37625,1.88141,1.507,0.51495,0.61184,0.61864,0.32526,1.74685,1.93616,1.89359,0.0006832,0.0006832,0.0006832
34,724.508,1.36655,1.84792,1.49613,0.84866,0.64573,0.73696,0.42124,1.54047,1.64363,1.64862,0.0006733,0.0006733,0.0006733
35,745.849,1.34314,1.79615,1.48253,0.69561,0.70103,0.78038,0.42234,1.46493,1.68857,1.56532,0.0006634,0.0006634,0.0006634
36,767.083,1.35265,1.82937,1.47738,0.60041,0.74378,0.73049,0.4082,1.57804,1.60401,1.67813,0.0006535,0.0006535,0.0006535
37,788.219,1.36331,1.80843,1.48723,0.68639,0.81347,0.79334,0.46186,1.50611,1.60445,1.55378,0.0006436,0.0006436,0.0006436
38,809.674,1.34107,1.76943,1.48366,0.66281,0.79786,0.79492,0.47246,1.44798,1.41125,1.58797,0.0006337,0.0006337,0.0006337
39,830.895,1.34312,1.77575,1.48472,0.65217,0.7857,0.79791,0.46352,1.48708,1.55799,1.60153,0.0006238,0.0006238,0.0006238
40,852.004,1.33244,1.75819,1.46494,0.60992,0.80212,0.78159,0.46396,1.42942,1.54967,1.50759,0.0006139,0.0006139,0.0006139
41,873.155,1.31145,1.73905,1.45268,0.77676,0.72954,0.80094,0.45101,1.48965,1.56091,1.58167,0.000604,0.000604,0.000604
42,894.537,1.33755,1.74834,1.45809,0.65419,0.7254,0.78421,0.4795,1.42326,1.55273,1.52937,0.0005941,0.0005941,0.0005941
43,915.909,1.32035,1.75133,1.4599,0.69975,0.70198,0.76528,0.47675,1.37503,1.48904,1.56687,0.0005842,0.0005842,0.0005842
44,937.327,1.32135,1.73592,1.45273,0.70854,0.68473,0.72888,0.44171,1.47341,1.65659,1.59419,0.0005743,0.0005743,0.0005743
45,958.534,1.32363,1.72911,1.46428,0.8481,0.64954,0.77476,0.47238,1.4193,1.56258,1.52359,0.0005644,0.0005644,0.0005644
46,979.655,1.32078,1.72044,1.4617,0.84196,0.61487,0.71139,0.37371,1.57109,1.66194,1.66268,0.0005545,0.0005545,0.0005545
47,1000.95,1.3387,1.72964,1.46191,0.70399,0.72377,0.7722,0.42147,1.58057,1.74983,1.67502,0.0005446,0.0005446,0.0005446
48,1022.2,1.3165,1.66529,1.45053,0.57641,0.76355,0.76065,0.4434,1.44863,1.63405,1.5277,0.0005347,0.0005347,0.0005347
49,1043.5,1.31203,1.6819,1.45419,0.64799,0.83678,0.77856,0.47592,1.50099,1.47124,1.6574,0.0005248,0.0005248,0.0005248
50,1064.74,1.30566,1.67902,1.45552,0.91203,0.62946,0.7477,0.46406,1.3522,1.42899,1.51209,0.0005149,0.0005149,0.0005149
51,1085.96,1.30437,1.68266,1.448,0.73025,0.79555,0.7914,0.48712,1.43031,1.38479,1.56223,0.000505,0.000505,0.000505
52,1107.09,1.28565,1.64727,1.44019,0.58653,0.7066,0.72178,0.45569,1.43519,1.51001,1.57159,0.0004951,0.0004951,0.0004951
53,1128.31,1.30157,1.66823,1.44343,0.70656,0.72954,0.75749,0.46543,1.37094,1.45137,1.49357,0.0004852,0.0004852,0.0004852
54,1149.57,1.28751,1.63612,1.4348,0.63232,0.7525,0.75475,0.4485,1.45697,1.50129,1.54295,0.0004753,0.0004753,0.0004753
55,1170.85,1.29126,1.66109,1.43944,0.61913,0.83886,0.78322,0.47596,1.4675,1.43356,1.60081,0.0004654,0.0004654,0.0004654
56,1191.93,1.27417,1.63436,1.43848,0.6017,0.82631,0.76672,0.46247,1.39766,1.4052,1.53837,0.0004555,0.0004555,0.0004555
57,1213,1.27363,1.60143,1.41751,0.86048,0.67683,0.74938,0.4373,1.4995,1.38292,1.64547,0.0004456,0.0004456,0.0004456
58,1234.24,1.27484,1.60352,1.43228,0.73742,0.77167,0.80001,0.50973,1.36747,1.44067,1.47517,0.0004357,0.0004357,0.0004357
59,1255.5,1.28883,1.59744,1.43166,0.73437,0.81268,0.82301,0.47238,1.44309,1.49852,1.54703,0.0004258,0.0004258,0.0004258
60,1276.62,1.27707,1.60938,1.42498,0.7214,0.77074,0.81227,0.47017,1.36848,1.46233,1.50263,0.0004159,0.0004159,0.0004159
61,1297.83,1.2512,1.59508,1.41818,0.61819,0.78802,0.79457,0.48687,1.34284,1.33913,1.45073,0.000406,0.000406,0.000406
62,1318.96,1.25842,1.58489,1.41725,0.66003,0.68491,0.75466,0.44933,1.46572,1.5447,1.57837,0.0003961,0.0003961,0.0003961
63,1340.04,1.24973,1.57571,1.40777,0.74992,0.79837,0.82155,0.489,1.49096,1.35306,1.67951,0.0003862,0.0003862,0.0003862
64,1361.2,1.2446,1.57793,1.41128,0.68458,0.82332,0.76079,0.45639,1.38004,1.56128,1.54292,0.0003763,0.0003763,0.0003763
65,1382.47,1.25781,1.57556,1.42661,0.74776,0.77917,0.82411,0.49497,1.42381,1.37722,1.5943,0.0003664,0.0003664,0.0003664
66,1403.88,1.23383,1.562,1.41267,0.66717,0.80596,0.81698,0.47273,1.39326,1.37012,1.52429,0.0003565,0.0003565,0.0003565
67,1425.38,1.26169,1.56639,1.42073,0.65076,0.77333,0.80522,0.46651,1.44466,1.43205,1.549,0.0003466,0.0003466,0.0003466
68,1446.71,1.23555,1.54399,1.40337,0.6985,0.76892,0.78635,0.48699,1.40777,1.50366,1.5526,0.0003367,0.0003367,0.0003367
69,1468.04,1.24398,1.5217,1.41198,0.61475,0.83583,0.76658,0.47095,1.38119,1.4683,1.51639,0.0003268,0.0003268,0.0003268
70,1489.26,1.23907,1.52166,1.39417,0.61559,0.85898,0.79774,0.46415,1.41795,1.43551,1.55862,0.0003169,0.0003169,0.0003169
71,1510.43,1.22713,1.49567,1.39768,0.74093,0.79788,0.84056,0.49383,1.40751,1.37741,1.53696,0.000307,0.000307,0.000307
72,1531.67,1.23396,1.52112,1.39772,0.72708,0.78545,0.81528,0.47923,1.42105,1.39154,1.5554,0.0002971,0.0002971,0.0002971
73,1553.04,1.21805,1.49377,1.38941,0.58803,0.81028,0.7065,0.45693,1.36408,1.3742,1.51242,0.0002872,0.0002872,0.0002872
74,1574.41,1.22313,1.50691,1.38744,0.65947,0.8314,0.79582,0.46665,1.43829,1.37668,1.56551,0.0002773,0.0002773,0.0002773
75,1595.74,1.20963,1.45941,1.37791,0.74312,0.70334,0.79118,0.46455,1.45439,1.42175,1.60763,0.0002674,0.0002674,0.0002674
76,1617.05,1.21432,1.51242,1.39313,0.63752,0.79704,0.76741,0.46496,1.3703,1.39724,1.5307,0.0002575,0.0002575,0.0002575
77,1638.24,1.20315,1.46773,1.37796,0.58437,0.79934,0.76114,0.47279,1.42162,1.34969,1.54379,0.0002476,0.0002476,0.0002476
78,1659.41,1.22245,1.47065,1.38648,0.68872,0.75693,0.80796,0.4876,1.42703,1.33699,1.56067,0.0002377,0.0002377,0.0002377
79,1680.71,1.21196,1.48533,1.38647,0.73962,0.72572,0.79227,0.50756,1.36213,1.38821,1.50198,0.0002278,0.0002278,0.0002278
80,1702.05,1.18984,1.46109,1.36473,0.583,0.77975,0.79762,0.45347,1.40956,1.4014,1.52217,0.0002179,0.0002179,0.0002179
81,1723.39,1.18167,1.41611,1.36725,0.62152,0.815,0.78757,0.45782,1.4028,1.36355,1.54646,0.000208,0.000208,0.000208
82,1744.64,1.1799,1.42846,1.37472,0.59866,0.79782,0.79554,0.48846,1.39351,1.34105,1.53517,0.0001981,0.0001981,0.0001981
83,1766.01,1.18281,1.41303,1.36029,0.70288,0.71315,0.76634,0.47163,1.4283,1.35202,1.58408,0.0001882,0.0001882,0.0001882
84,1787.76,1.17536,1.41724,1.35348,0.8184,0.72211,0.81046,0.48298,1.39397,1.33499,1.50842,0.0001783,0.0001783,0.0001783
85,1808.95,1.18775,1.40141,1.3629,0.68588,0.78698,0.78525,0.49192,1.36611,1.36714,1.52108,0.0001684,0.0001684,0.0001684
86,1830.24,1.1787,1.42443,1.35876,0.62038,0.72917,0.73233,0.4783,1.37682,1.35437,1.52072,0.0001585,0.0001585,0.0001585
87,1851.42,1.17108,1.41096,1.36663,0.62781,0.83583,0.81081,0.48931,1.36265,1.24445,1.50246,0.0001486,0.0001486,0.0001486
88,1872.82,1.17073,1.38836,1.35488,0.68362,0.7921,0.81707,0.4838,1.42388,1.27743,1.5732,0.0001387,0.0001387,0.0001387
89,1894.02,1.16824,1.38693,1.35537,0.741,0.75481,0.82154,0.48862,1.39401,1.32651,1.53793,0.0001288,0.0001288,0.0001288
90,1915.26,1.16744,1.37962,1.35579,0.64705,0.8415,0.80447,0.47832,1.39965,1.23994,1.55275,0.0001189,0.0001189,0.0001189
91,1935.44,1.18459,1.35713,1.40998,0.65308,0.84435,0.81192,0.50801,1.36136,1.25754,1.5458,0.000109,0.000109,0.000109
92,1955.59,1.15942,1.29239,1.39317,0.86364,0.7459,0.846,0.50743,1.38678,1.38714,1.54007,9.91e-05,9.91e-05,9.91e-05
93,1975.67,1.13499,1.25739,1.37434,0.83181,0.72619,0.8195,0.50482,1.38304,1.31449,1.54809,8.92e-05,8.92e-05,8.92e-05
94,1995.79,1.12002,1.21982,1.36953,0.78385,0.75864,0.83105,0.5041,1.41469,1.33665,1.58562,7.93e-05,7.93e-05,7.93e-05
95,2015.83,1.13625,1.23008,1.37974,0.7064,0.80397,0.81483,0.48144,1.40773,1.33322,1.54498,6.94e-05,6.94e-05,6.94e-05
96,2035.94,1.11678,1.20051,1.37258,0.73575,0.78979,0.83117,0.50224,1.43547,1.30138,1.58631,5.95e-05,5.95e-05,5.95e-05
97,2056.01,1.09517,1.18136,1.35675,0.83782,0.73398,0.83562,0.49918,1.41069,1.27169,1.56133,4.96e-05,4.96e-05,4.96e-05
98,2076.14,1.10506,1.16122,1.35536,0.63843,0.9126,0.84408,0.49779,1.40191,1.29739,1.56225,3.97e-05,3.97e-05,3.97e-05
99,2096.21,1.1067,1.17101,1.3641,0.74549,0.77793,0.82413,0.48096,1.41702,1.32101,1.5788,2.98e-05,2.98e-05,2.98e-05
