epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.7182,1.68105,3.12739,1.78272,0.33563,0.57929,0.42538,0.18063,1.79758,2.84036,1.86348,0.00033033,0.00033033,0.00033033
2,44.0085,1.58487,2.1535,1.69845,0.31611,0.64483,0.49253,0.19601,1.766,2.8114,1.94362,0.000652713,0.000652713,0.000652713
3,65.4911,1.55103,1.98199,1.67981,0.50633,0.59865,0.46824,0.16889,1.75708,2.60425,1.89148,0.000964096,0.000964096,0.000964096
4,86.8382,1.52045,1.9006,1.66788,0.66587,0.5509,0.60205,0.2973,1.6188,1.88828,1.72311,0.0009505,0.0009505,0.0009505
5,108.3,1.48092,1.75951,1.62167,0.53921,0.64435,0.66005,0.34427,1.49673,1.89573,1.68738,0.000934,0.000934,0.000934
6,129.646,1.46331,1.70357,1.6038,0.65958,0.67526,0.67365,0.33489,1.67919,1.90584,1.69596,0.0009175,0.0009175,0.0009175
7,151.056,1.44863,1.67029,1.60377,0.50618,0.78355,0.63315,0.33845,1.39522,1.71306,1.5207,0.000901,0.000901,0.000901
8,172.49,1.44545,1.62402,1.59183,0.69427,0.63138,0.72976,0.36293,1.54142,1.59833,1.66785,0.0008845,0.0008845,0.0008845
9,194.029,1.43301,1.59885,1.58632,0.59155,0.76984,0.73816,0.40998,1.51974,1.36145,1.60624,0.000868,0.000868,0.000868
10,215.959,1.40414,1.54192,1.57109,0.655,0.65444,0.67499,0.31573,1.54746,1.58951,1.73287,0.0008515,0.0008515,0.0008515
11,237.425,1.41654,1.56337,1.57608,0.58387,0.76854,0.71899,0.35618,1.4554,1.41444,1.57086,0.000835,0.000835,0.000835
12,259.046,1.37381,1.48907,1.5465,0.63602,0.79823,0.79032,0.42613,1.49918,1.38432,1.61039,0.0008185,0.0008185,0.0008185
13,280.865,1.36942,1.48798,1.54474,0.58873,0.81718,0.7276,0.33477,1.49023,1.47391,1.57639,0.000802,0.000802,0.000802
14,302.437,1.34637,1.4259,1.52935,0.60038,0.67082,0.6687,0.36948,1.39172,1.49094,1.52294,0.0007855,0.0007855,0.0007855
15,323.743,1.36739,1.4125,1.5255,0.60865,0.77469,0.72534,0.38249,1.46335,1.40886,1.61299,0.000769,0.000769,0.000769
16,345.113,1.35835,1.42257,1.53729,0.63231,0.73697,0.73513,0.40469,1.48567,1.44296,1.65549,0.0007525,0.0007525,0.0007525
17,366.508,1.33846,1.37605,1.51599,0.73767,0.66743,0.75665,0.45361,1.41468,1.22133,1.54166,0.000736,0.000736,0.000736
18,388.263,1.33402,1.36884,1.51509,0.6042,0.71756,0.73039,0.40966,1.49856,1.38148,1.60981,0.0007195,0.0007195,0.0007195
19,409.683,1.35741,1.40142,1.52467,0.72231,0.76483,0.74827,0.43065,1.38861,1.32752,1.49754,0.000703,0.000703,0.000703
20,431.065,1.31872,1.33628,1.49728,0.63984,0.74262,0.72953,0.41519,1.39877,1.42142,1.54521,0.0006865,0.0006865,0.0006865
21,452.406,1.30827,1.33675,1.4879,0.55108,0.81863,0.75851,0.41679,1.33392,1.32945,1.50479,0.00067,0.00067,0.00067
22,473.626,1.32199,1.33992,1.4991,0.73911,0.74664,0.82754,0.48403,1.41858,1.22979,1.53453,0.0006535,0.0006535,0.0006535
23,494.851,1.32173,1.31792,1.49878,0.63485,0.72495,0.67481,0.37089,1.51226,1.35136,1.66763,0.000637,0.000637,0.000637
24,516.387,1.3071,1.3353,1.49566,0.82015,0.65159,0.78174,0.42514,1.43344,1.2105,1.54815,0.0006205,0.0006205,0.0006205
