epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.7901,1.70549,1.90527,1.80243,0.35106,0.41702,0.3107,0.13376,2.01383,2.89459,2.05605,0.00033033,0.00033033,0.00033033
2,44.0488,1.52275,1.56361,1.655,0.30449,0.47759,0.39994,0.15983,2.30201,2.27095,2.36704,0.000641763,0.000641763,0.000641763
3,65.4374,1.52042,1.57521,1.62814,0.63981,0.35092,0.40669,0.17811,1.80759,2.37573,2.03296,0.000931195,0.000931195,0.000931195
4,86.6851,1.50087,1.5855,1.62197,0.7098,0.40174,0.52071,0.23352,1.96053,2.25245,2.03292,0.000901,0.000901,0.000901
5,107.96,1.48185,1.50748,1.59287,0.52884,0.73835,0.68184,0.34298,1.64527,1.4678,1.73198,0.000868,0.000868,0.000868
6,129.172,1.4684,1.502,1.58384,0.52401,0.68186,0.725,0.36872,1.61293,1.38579,1.76136,0.000835,0.000835,0.000835
7,150.299,1.47523,1.47654,1.59166,0.63793,0.70336,0.67978,0.38843,1.55274,1.2801,1.68797,0.000802,0.000802,0.000802
8,171.379,1.4627,1.46061,1.56712,0.71589,0.6403,0.67788,0.35801,1.49228,1.29025,1.57412,0.000769,0.000769,0.000769
9,192.634,1.4254,1.41831,1.55992,0.68286,0.70026,0.76061,0.44303,1.40302,1.18537,1.56332,0.000736,0.000736,0.000736
10,213.863,1.41821,1.40271,1.55011,0.65435,0.81267,0.76667,0.44735,1.4692,1.19764,1.6051,0.000703,0.000703,0.000703
11,235.02,1.43126,1.41261,1.55007,0.57731,0.74276,0.68687,0.42437,1.35192,1.24785,1.53425,0.00067,0.00067,0.00067
12,256.117,1.38727,1.36055,1.52215,0.71634,0.67511,0.70402,0.4135,1.42935,1.20775,1.5449,0.000637,0.000637,0.000637
13,277.208,1.38338,1.35055,1.52162,0.72452,0.73398,0.75668,0.42828,1.51237,1.21215,1.56708,0.000604,0.000604,0.000604
14,298.394,1.34938,1.3362,1.50436,0.61768,0.66929,0.69725,0.37049,1.51858,1.25895,1.59248,0.000571,0.000571,0.000571
15,319.491,1.35518,1.28913,1.49487,0.64218,0.80867,0.78478,0.43766,1.50752,1.10732,1.61808,0.000538,0.000538,0.000538
16,340.649,1.36938,1.31645,1.51494,0.62203,0.71637,0.72788,0.40148,1.54413,1.14454,1.6819,0.000505,0.000505,0.000505
17,361.925,1.33654,1.28676,1.50088,0.65385,0.77451,0.82249,0.48482,1.41492,1.02526,1.55491,0.000472,0.000472,0.000472
18,383.272,1.32729,1.26692,1.49133,0.6891,0.7074,0.76302,0.45075,1.50949,1.05073,1.65024,0.000439,0.000439,0.000439
19,404.584,1.34004,1.27273,1.48759,0.701,0.73251,0.7962,0.46641,1.41801,1.11911,1.56104,0.000406,0.000406,0.000406
20,425.729,1.30873,1.22692,1.46624,0.57023,0.7765,0.73389,0.39141,1.5166,1.13312,1.62572,0.000373,0.000373,0.000373
21,445.836,1.36691,1.25065,1.54918,0.69689,0.6606,0.70363,0.4064,1.56548,1.12008,1.66543,0.00034,0.00034,0.00034
22,465.799,1.32655,1.18555,1.53436,0.66837,0.69482,0.7084,0.44043,1.45939,1.13743,1.5788,0.000307,0.000307,0.000307
23,485.804,1.30172,1.14481,1.51819,0.57521,0.77202,0.74712,0.44536,1.33271,1.10754,1.52421,0.000274,0.000274,0.000274
24,505.714,1.3006,1.14497,1.52279,0.69009,0.68838,0.73554,0.43911,1.37566,1.11198,1.50781,0.000241,0.000241,0.000241
25,525.672,1.27474,1.10637,1.5011,0.63482,0.74378,0.75161,0.43003,1.45029,1.09192,1.5881,0.000208,0.000208,0.000208
26,545.7,1.27368,1.08545,1.485,0.59002,0.77333,0.74214,0.45449,1.35941,1.05216,1.51559,0.000175,0.000175,0.000175
27,565.728,1.23913,1.0726,1.46582,0.62111,0.84246,0.77525,0.46098,1.36038,1.00253,1.56697,0.000142,0.000142,0.000142
28,585.689,1.23513,1.06318,1.46931,0.62687,0.74759,0.7546,0.44478,1.39387,1.00622,1.57771,0.000109,0.000109,0.000109
29,605.59,1.21501,1.04779,1.4541,0.5631,0.81029,0.75297,0.47346,1.35021,1.00459,1.52074,7.6e-05,7.6e-05,7.6e-05
30,625.467,1.21028,1.02806,1.45464,0.63995,0.7829,0.77079,0.46825,1.37275,0.98013,1.56868,4.3e-05,4.3e-05,4.3e-05
